tourney_name,surface,tourney_level
Brisbane,Hard,A
Chennai,Hard,A
Doha,Hard,A
Auckland,Hard,A
Sydney,Hard,A
Australian Open,Hard,G
Montpellier,Hard,A
Quito,Clay,A
Sofia,Hard,A
Buenos Aires,Clay,A
Memphis,Hard,A
Rotterdam,Hard,A
Delray Beach,Hard,A
Marseille,Hard,A
Rio De Janeiro,Clay,A
Acapulco,Hard,A
Dubai,Hard,A
Sao Paulo,Clay,A
Indian Wells Masters,Hard,M
Miami Masters,Hard,M
Houston,Clay,A
Marrakech,Clay,A
Monte Carlo,Clay,M
Barcelona,Clay,A
Budapest,Clay,A
Estoril,Clay,A
Istanbul,Clay,A
Munich,Clay,A
Madrid,Clay,M
Rome,Clay,M
Geneva,Clay,A
Lyon,Clay,A
Roland Garros,Clay,G
'S-Hertogenbosch,Grass,A
Stuttgart,Grass,A
Halle,Grass,A
London,Grass,A
Antalya,Grass,A
Eastbourne,Grass,A
Wimbledon,Grass,G
Bastad,Clay,A
Newport,Grass,A
Umag,Clay,A
Atlanta,Hard,A
Gstaad,Clay,A
Hamburg,Clay,A
Kitzbuhel,Clay,A
Los Cabos,Hard,A
Washington,Hard,A
Canada Masters,Hard,M
Cincinnati Masters,Hard,M
Winston-Salem,Hard,A
Us Open,Hard,G
Metz,Hard,A
St. Petersburg,Hard,A
Chengdu,Hard,A
Shenzhen,Hard,A
Beijing ,Hard,A
Tokyo,Hard,A
Shanghai Masters,Hard,M
Antwerp,Hard,A
Moscow,Hard,A
Stockholm,Hard,A
Basel,Hard,A
Vienna,Hard,A
Paris Masters,Hard,M
London,Hard,A
